"Batch", "n_neighbors = 1", "n_neighbors = 3", "n_neighbors = 5", "n_neighbors = 10", "n_neighbors = 20"
154,0.844727,0.832031,0.835938,0.829102,0.84668
155,0.844727,0.833984,0.837891,0.830078,0.851562
156,0.847656,0.830078,0.836914,0.825195,0.854492
157,0.860352,0.854492,0.850586,0.842773,0.866211
158,0.861328,0.847656,0.848633,0.852539,0.874023
159,0.868164,0.856445,0.857422,0.869141,0.881836
160,0.889648,0.869141,0.871094,0.886719,0.885742
161,0.894531,0.890625,0.893555,0.890625,0.893555
162,0.904297,0.910156,0.916016,0.895508,0.900391
163,0.907227,0.914062,0.921875,0.901367,0.908203
164,0.913086,0.916992,0.929688,0.910156,0.916016
165,0.9375,0.929688,0.933594,0.919922,0.919922
166,0.936523,0.927734,0.929688,0.915039,0.917969
167,0.936523,0.927734,0.929688,0.916992,0.921875
168,0.941406,0.928711,0.928711,0.925781,0.93457
169,0.945312,0.933594,0.929688,0.927734,0.936523
170,0.944336,0.930664,0.926758,0.929688,0.94043
171,0.945312,0.929688,0.927734,0.930664,0.941406
172,0.948242,0.93457,0.93457,0.939453,0.943359
173,0.950195,0.93457,0.93457,0.94043,0.952148
174,0.948242,0.939453,0.943359,0.942383,0.951172
175,0.950195,0.94043,0.944336,0.942383,0.948242
176,0.955078,0.94043,0.944336,0.943359,0.944336
177,0.951172,0.94043,0.949219,0.943359,0.943359
178,0.950195,0.935547,0.947266,0.93457,0.942383
179,0.948242,0.935547,0.949219,0.93457,0.944336
180,0.703125,0.694336,0.701172,0.699219,0.716797
181,0.705078,0.700195,0.702148,0.702148,0.717773
182,0.712891,0.711914,0.71582,0.709961,0.728516
183,0.716797,0.71582,0.719727,0.712891,0.731445
184,0.726562,0.735352,0.739258,0.724609,0.741211
185,0.732422,0.736328,0.743164,0.735352,0.743164
186,0.766602,0.758789,0.749023,0.738281,0.750977
187,0.767578,0.756836,0.749023,0.744141,0.753906
188,0.766602,0.755859,0.74707,0.748047,0.754883
189,0.770508,0.761719,0.757812,0.757812,0.757812
190,0.775391,0.768555,0.758789,0.760742,0.759766
191,0.777344,0.768555,0.760742,0.761719,0.762695
192,0.777344,0.773438,0.765625,0.763672,0.764648
193,0.75293,0.759766,0.758789,0.759766,0.761719
194,0.754883,0.762695,0.764648,0.758789,0.765625
195,0.770508,0.771484,0.764648,0.765625,0.768555
196,0.777344,0.776367,0.768555,0.773438,0.773438
197,0.77832,0.773438,0.766602,0.771484,0.775391
198,0.789062,0.775391,0.771484,0.776367,0.77832
199,0.791992,0.77832,0.78125,0.785156,0.786133
200,0.810547,0.791016,0.790039,0.788086,0.791016
201,0.8125,0.798828,0.792969,0.787109,0.791016
202,0.818359,0.806641,0.806641,0.796875,0.799805
203,0.825195,0.832031,0.834961,0.811523,0.8125
204,0.828125,0.842773,0.848633,0.824219,0.829102
205,0.84375,0.853516,0.856445,0.838867,0.836914
206,0.849609,0.857422,0.859375,0.845703,0.844727
207,0.864258,0.860352,0.865234,0.850586,0.854492
208,0.867188,0.870117,0.873047,0.853516,0.863281
209,0.865234,0.868164,0.87207,0.858398,0.871094
210,0.854492,0.871094,0.875,0.863281,0.870117
211,0.857422,0.876953,0.875,0.864258,0.860352
212,0.854492,0.867188,0.868164,0.862305,0.859375
213,0.84668,0.835938,0.863281,0.860352,0.854492
214,0.837891,0.826172,0.851562,0.849609,0.84375
215,0.792969,0.822266,0.822266,0.833984,0.844727
216,0.801758,0.828125,0.824219,0.836914,0.855469
217,0.797852,0.818359,0.814453,0.820312,0.851562
218,0.801758,0.8125,0.8125,0.814453,0.845703
219,0.801758,0.8125,0.813477,0.821289,0.847656
220,0.799805,0.816406,0.819336,0.827148,0.848633
221,0.801758,0.814453,0.819336,0.826172,0.844727
222,0.798828,0.811523,0.81543,0.825195,0.849609
223,0.796875,0.810547,0.80957,0.817383,0.84082
224,0.794922,0.810547,0.808594,0.813477,0.832031
225,0.800781,0.814453,0.810547,0.817383,0.84082
226,0.793945,0.820312,0.810547,0.805664,0.834961
227,0.795898,0.824219,0.81543,0.810547,0.835938
228,0.798828,0.823242,0.814453,0.803711,0.833008
229,0.787109,0.811523,0.802734,0.798828,0.819336
230,0.788086,0.828125,0.817383,0.824219,0.819336
231,0.791992,0.829102,0.811523,0.829102,0.836914
232,0.799805,0.830078,0.813477,0.829102,0.844727
233,0.794922,0.822266,0.804688,0.816406,0.828125
234,0.801758,0.826172,0.801758,0.816406,0.831055
235,0.798828,0.823242,0.796875,0.811523,0.823242
236,0.811523,0.828125,0.802734,0.825195,0.829102
237,0.806641,0.818359,0.802734,0.819336,0.832031
238,0.8125,0.828125,0.811523,0.825195,0.832031
239,0.813477,0.827148,0.808594,0.828125,0.830078
240,0.828125,0.842773,0.823242,0.834961,0.835938
241,0.827148,0.84082,0.820312,0.837891,0.837891
242,0.824219,0.842773,0.825195,0.84375,0.842773
243,0.824219,0.844727,0.827148,0.844727,0.841797
244,0.829102,0.84375,0.831055,0.84668,0.84375
245,0.833008,0.845703,0.834961,0.848633,0.855469
246,0.851562,0.860352,0.839844,0.852539,0.858398
247,0.852539,0.861328,0.84082,0.854492,0.857422
248,0.856445,0.864258,0.841797,0.852539,0.856445
249,0.864258,0.886719,0.874023,0.868164,0.856445
250,0.879883,0.891602,0.878906,0.875977,0.870117
251,0.876953,0.891602,0.875977,0.873047,0.874023
252,0.876953,0.889648,0.875977,0.875977,0.876953
253,0.875977,0.887695,0.883789,0.874023,0.878906
254,0.878906,0.887695,0.887695,0.881836,0.879883
255,0.87793,0.889648,0.883789,0.886719,0.883789
256,0.87793,0.889648,0.882812,0.883789,0.882812
257,0.880859,0.890625,0.882812,0.883789,0.881836
258,0.883789,0.891602,0.884766,0.884766,0.882812
259,0.887695,0.889648,0.884766,0.885742,0.880859
260,0.886719,0.889648,0.884766,0.885742,0.87793
261,0.885742,0.887695,0.882812,0.888672,0.885742
262,0.890625,0.890625,0.886719,0.890625,0.883789
263,0.889648,0.889648,0.893555,0.892578,0.884766
264,0.889648,0.894531,0.891602,0.894531,0.887695
265,0.892578,0.894531,0.892578,0.898438,0.890625
266,0.892578,0.899414,0.891602,0.896484,0.890625
267,0.894531,0.896484,0.887695,0.895508,0.896484
268,0.895508,0.90332,0.890625,0.898438,0.897461
269,0.894531,0.901367,0.888672,0.897461,0.895508
270,0.895508,0.90625,0.893555,0.896484,0.894531
271,0.899414,0.90918,0.897461,0.898438,0.895508
272,0.90332,0.911133,0.900391,0.90918,0.898438
273,0.904297,0.912109,0.90625,0.916016,0.901367
274,0.90918,0.916016,0.911133,0.922852,0.910156
