"Batch", "leaf_size = 10", "leaf_size = 20", "leaf_size = 30", "leaf_size = 40", "leaf_size = 50"
276,0.907227,0.907227,0.907227,0.907227,0.907227
277,0.910156,0.910156,0.910156,0.910156,0.910156
278,0.916016,0.916016,0.916016,0.916016,0.916016
279,0.916992,0.916992,0.916992,0.916992,0.916992
280,0.917969,0.917969,0.917969,0.917969,0.917969
281,0.920898,0.920898,0.920898,0.920898,0.920898
282,0.912109,0.912109,0.912109,0.912109,0.912109
283,0.911133,0.911133,0.911133,0.911133,0.911133
284,0.90918,0.90918,0.90918,0.90918,0.90918
285,0.914062,0.914062,0.914062,0.914062,0.914062
286,0.920898,0.920898,0.920898,0.920898,0.920898
287,0.924805,0.924805,0.924805,0.924805,0.924805
288,0.935547,0.935547,0.935547,0.935547,0.935547
289,0.931641,0.931641,0.931641,0.931641,0.931641
290,0.930664,0.930664,0.930664,0.930664,0.930664
291,0.921875,0.921875,0.921875,0.921875,0.921875
292,0.929688,0.929688,0.929688,0.929688,0.929688
293,0.926758,0.926758,0.926758,0.926758,0.926758
294,0.920898,0.920898,0.920898,0.920898,0.920898
295,0.922852,0.922852,0.922852,0.922852,0.922852
296,0.917969,0.917969,0.917969,0.917969,0.917969
297,0.919922,0.919922,0.919922,0.919922,0.919922
298,0.917969,0.917969,0.917969,0.917969,0.917969
299,0.925781,0.925781,0.925781,0.925781,0.925781
300,0.928711,0.928711,0.928711,0.928711,0.928711
301,0.878359,0.878359,0.878359,0.878359,0.878359
