"Batch", "beta = 0.1", "beta = 0.25", "beta = 0.5", "beta = 0.75", "beta = 0.9"
171,0.949219,0.896484,0.750977,0.75,0.75
172,0.948242,0.894531,0.748047,0.748047,0.748047
173,0.950195,0.895508,0.751953,0.751953,0.751953
174,0.953125,0.897461,0.751953,0.75293,0.75293
175,0.957031,0.899414,0.751953,0.750977,0.750977
176,0.960938,0.901367,0.75293,0.75293,0.75293
177,0.964844,0.904297,0.754883,0.754883,0.754883
178,0.964844,0.90332,0.756836,0.754883,0.754883
179,0.964844,0.902344,0.757812,0.756836,0.756836
180,0.75293,0.75293,0.677734,0.694336,0.694336
181,0.751953,0.751953,0.675781,0.692383,0.693359
182,0.759766,0.759766,0.68457,0.696289,0.697266
183,0.760742,0.760742,0.68457,0.697266,0.698242
184,0.762695,0.762695,0.6875,0.695312,0.696289
185,0.766602,0.766602,0.6875,0.692383,0.692383
186,0.771484,0.771484,0.679688,0.68457,0.68457
187,0.772461,0.772461,0.674805,0.680664,0.680664
188,0.775391,0.775391,0.775391,0.738281,0.681641
189,0.775391,0.775391,0.775391,0.733398,0.676758
190,0.776367,0.776367,0.776367,0.739258,0.681641
191,0.779297,0.779297,0.779297,0.744141,0.682617
192,0.78125,0.78125,0.78125,0.751953,0.682617
193,0.78418,0.78418,0.78418,0.754883,0.686523
194,0.785156,0.785156,0.785156,0.751953,0.682617
195,0.786133,0.786133,0.786133,0.75293,0.68457
196,0.794922,0.794922,0.794922,0.764648,0.683594
197,0.795898,0.795898,0.795898,0.763672,0.683594
198,0.830078,0.830078,0.830078,0.789062,0.788086
199,0.902344,0.902344,0.902344,0.819336,0.788086
200,0.748047,0.90625,0.542969,0.602539,0.614258
201,0.819336,0.828125,0.832031,0.888672,0.888672
202,0.856445,0.831055,0.832031,0.876953,0.876953
203,0.856445,0.835938,0.835938,0.878906,0.878906
204,0.884766,0.856445,0.856445,0.897461,0.897461
205,0.887695,0.866211,0.866211,0.910156,0.910156
206,0.874023,0.874023,0.871094,0.911133,0.911133
207,0.878906,0.865234,0.861328,0.90332,0.90332
208,0.719727,0.719727,0.737305,0.835938,0.835938
209,0.793945,0.793945,0.802734,0.825195,0.825195
210,0.387695,0.484375,0.547852,0.647461,0.647461
211,0.68457,0.68457,0.766602,0.766602,0.766602
212,0.660156,0.651367,0.740234,0.731445,0.731445
213,0.658203,0.658203,0.697266,0.697266,0.697266
214,0.746094,0.746094,0.75,0.75,0.75
215,0.700195,0.700195,0.717773,0.717773,0.717773
216,0.701172,0.701172,0.705078,0.705078,0.705078
217,0.710938,0.710938,0.71875,0.71875,0.71875
218,0.708984,0.708984,0.706055,0.706055,0.706055
219,0.760742,0.760742,0.755859,0.755859,0.755859
220,0.77832,0.77832,0.77832,0.77832,0.77832
221,0.811523,0.811523,0.811523,0.811523,0.811523
222,0.818359,0.818359,0.819336,0.819336,0.819336
223,0.819336,0.819336,0.819336,0.819336,0.819336
224,0.825195,0.825195,0.826172,0.826172,0.826172
225,0.833984,0.833984,0.833984,0.833984,0.833984
226,0.839844,0.839844,0.839844,0.839844,0.839844
227,0.839844,0.839844,0.839844,0.839844,0.839844
228,0.841797,0.841797,0.841797,0.841797,0.841797
229,0.837891,0.837891,0.837891,0.837891,0.837891
230,0.836914,0.836914,0.836914,0.836914,0.836914
231,0.839844,0.839844,0.839844,0.839844,0.839844
232,0.84082,0.84082,0.84082,0.84082,0.84082
233,0.838867,0.838867,0.838867,0.838867,0.838867
234,0.84082,0.84082,0.84082,0.84082,0.84082
235,0.839844,0.839844,0.84082,0.84082,0.84082
236,0.849609,0.849609,0.849609,0.849609,0.849609
237,0.851562,0.851562,0.852539,0.852539,0.852539
238,0.856445,0.856445,0.856445,0.856445,0.856445
239,0.854492,0.854492,0.854492,0.854492,0.854492
240,0.864258,0.864258,0.864258,0.864258,0.864258
241,0.865234,0.865234,0.865234,0.865234,0.865234
242,0.867188,0.867188,0.867188,0.866211,0.866211
243,0.868164,0.868164,0.868164,0.867188,0.867188
244,0.866211,0.866211,0.866211,0.866211,0.866211
245,0.867188,0.867188,0.867188,0.867188,0.867188
246,0.868164,0.868164,0.868164,0.868164,0.868164
247,0.870117,0.870117,0.870117,0.870117,0.870117
248,0.874023,0.874023,0.874023,0.874023,0.874023
249,0.87793,0.87793,0.87793,0.87793,0.87793
250,0.87793,0.87793,0.87793,0.87793,0.87793
251,0.876953,0.876953,0.876953,0.876953,0.876953
252,0.874023,0.874023,0.874023,0.874023,0.874023
253,0.881836,0.881836,0.881836,0.881836,0.881836
254,0.880859,0.880859,0.880859,0.880859,0.880859
255,0.885742,0.885742,0.885742,0.885742,0.885742
256,0.885742,0.885742,0.885742,0.885742,0.885742
257,0.881836,0.881836,0.881836,0.881836,0.881836
258,0.886719,0.886719,0.886719,0.886719,0.886719
259,0.884766,0.884766,0.884766,0.884766,0.884766
260,0.883789,0.883789,0.883789,0.883789,0.883789
261,0.884766,0.884766,0.884766,0.884766,0.884766
262,0.886719,0.886719,0.886719,0.886719,0.886719
263,0.888672,0.888672,0.888672,0.888672,0.888672
264,0.888672,0.888672,0.888672,0.888672,0.888672
265,0.890625,0.890625,0.890625,0.890625,0.890625
266,0.890625,0.890625,0.890625,0.890625,0.890625
267,0.890625,0.890625,0.890625,0.890625,0.890625
268,0.875977,0.863281,0.709961,0.84668,0.84668
269,0.873047,0.862305,0.864258,0.892578,0.892578
270,0.875977,0.866211,0.833984,0.888672,0.888672
271,0.87793,0.870117,0.838867,0.889648,0.889648
272,0.873047,0.865234,0.839844,0.887695,0.887695
273,0.874023,0.864258,0.855469,0.895508,0.895508
274,0.867188,0.859375,0.850586,0.895508,0.895508
275,0.333008,0.643555,0.666016,0.666016,0.666016
276,0.802734,0.730469,0.754883,0.80957,0.80957
277,0.882812,0.810547,0.795898,0.839844,0.839844
278,0.930664,0.862305,0.807617,0.860352,0.860352
279,0.927734,0.860352,0.805664,0.860352,0.860352
280,0.925781,0.855469,0.806641,0.860352,0.860352
281,0.911133,0.84082,0.800781,0.853516,0.853516
282,0.911133,0.84082,0.798828,0.852539,0.852539
283,0.902344,0.828125,0.800781,0.84668,0.84668
284,0.90332,0.830078,0.798828,0.84375,0.84375
285,0.901367,0.825195,0.795898,0.84082,0.84082
286,0.896484,0.816406,0.794922,0.833008,0.833008
287,0.894531,0.810547,0.794922,0.828125,0.828125
288,0.916016,0.858398,0.869141,0.78418,0.791992
289,0.913086,0.858398,0.87207,0.785156,0.879883
290,0.914062,0.914062,0.873047,0.873047,0.880859
291,0.914062,0.914062,0.873047,0.873047,0.880859
292,0.908203,0.908203,0.871094,0.871094,0.874023
293,0.910156,0.910156,0.870117,0.870117,0.870117
294,0.913086,0.913086,0.870117,0.870117,0.871094
295,0.913086,0.913086,0.902344,0.868164,0.868164
296,0.913086,0.913086,0.90332,0.871094,0.871094
297,0.913086,0.913086,0.899414,0.869141,0.869141
298,0.910156,0.910156,0.900391,0.871094,0.871094
299,0.912109,0.912109,0.90332,0.874023,0.875
300,0.914062,0.914062,0.899414,0.87207,0.873047
301,0.86807,0.863314,0.851087,0.853877,0.852005
