"Batches", "theta = 0.01", "theta = 0.001", "theta = 0.0001", "theta = 0.05", "theta = 0.1"
200,0.542969,0.542969,0.542969,0.542969,0.542969
201,0.832031,0.832031,0.832031,0.835938,0.835938
202,0.832031,0.832031,0.832031,0.832031,0.832031
203,0.835938,0.835938,0.835938,0.835938,0.835938
204,0.856445,0.856445,0.856445,0.856445,0.856445
205,0.866211,0.866211,0.866211,0.866211,0.866211
206,0.871094,0.871094,0.871094,0.871094,0.871094
207,0.861328,0.861328,0.861328,0.862305,0.862305
208,0.737305,0.737305,0.737305,0.737305,0.737305
209,0.802734,0.802734,0.802734,0.802734,0.802734
210,0.547852,0.547852,0.547852,0.547852,0.547852
211,0.766602,0.766602,0.766602,0.766602,0.766602
212,0.740234,0.740234,0.740234,0.740234,0.740234
213,0.697266,0.697266,0.697266,0.697266,0.697266
214,0.75,0.75,0.75,0.75,0.75
215,0.717773,0.717773,0.717773,0.717773,0.717773
216,0.705078,0.705078,0.705078,0.705078,0.705078
217,0.71875,0.71875,0.71875,0.71875,0.71875
218,0.706055,0.706055,0.706055,0.706055,0.706055
219,0.755859,0.755859,0.755859,0.755859,0.755859
220,0.77832,0.77832,0.77832,0.77832,0.77832
221,0.811523,0.811523,0.811523,0.811523,0.811523
222,0.819336,0.819336,0.819336,0.819336,0.819336
223,0.819336,0.819336,0.819336,0.819336,0.819336
224,0.826172,0.826172,0.826172,0.826172,0.826172
225,0.833984,0.833984,0.833984,0.833984,0.833984
226,0.839844,0.839844,0.839844,0.839844,0.839844
227,0.839844,0.839844,0.839844,0.839844,0.839844
228,0.841797,0.841797,0.841797,0.841797,0.841797
229,0.837891,0.837891,0.837891,0.837891,0.837891
230,0.836914,0.836914,0.836914,0.836914,0.836914
231,0.839844,0.839844,0.839844,0.839844,0.839844
232,0.84082,0.84082,0.84082,0.84082,0.84082
233,0.838867,0.838867,0.838867,0.838867,0.838867
234,0.84082,0.84082,0.84082,0.84082,0.84082
235,0.84082,0.84082,0.84082,0.84082,0.84082
236,0.849609,0.849609,0.849609,0.849609,0.849609
237,0.852539,0.852539,0.852539,0.852539,0.852539
238,0.856445,0.856445,0.856445,0.856445,0.856445
239,0.854492,0.854492,0.854492,0.854492,0.854492
240,0.864258,0.864258,0.864258,0.864258,0.864258
241,0.865234,0.865234,0.865234,0.865234,0.865234
242,0.867188,0.867188,0.867188,0.867188,0.867188
243,0.868164,0.868164,0.868164,0.868164,0.868164
244,0.866211,0.866211,0.866211,0.866211,0.866211
245,0.867188,0.867188,0.867188,0.867188,0.867188
246,0.868164,0.868164,0.868164,0.868164,0.868164
247,0.870117,0.870117,0.870117,0.870117,0.870117
248,0.874023,0.874023,0.874023,0.874023,0.874023
249,0.87793,0.87793,0.87793,0.87793,0.87793
250,0.87793,0.87793,0.87793,0.87793,0.87793
251,0.876953,0.876953,0.876953,0.876953,0.876953
252,0.874023,0.874023,0.874023,0.874023,0.874023
253,0.881836,0.881836,0.881836,0.881836,0.881836
254,0.880859,0.880859,0.880859,0.880859,0.880859
255,0.885742,0.885742,0.885742,0.885742,0.885742
256,0.885742,0.885742,0.885742,0.885742,0.885742
257,0.881836,0.881836,0.881836,0.881836,0.881836
258,0.886719,0.886719,0.886719,0.886719,0.886719
259,0.884766,0.884766,0.884766,0.884766,0.884766
260,0.883789,0.883789,0.883789,0.883789,0.883789
261,0.884766,0.884766,0.884766,0.884766,0.884766
262,0.886719,0.886719,0.886719,0.886719,0.886719
263,0.888672,0.888672,0.888672,0.888672,0.888672
264,0.888672,0.888672,0.888672,0.888672,0.888672
265,0.890625,0.890625,0.890625,0.890625,0.890625
266,0.890625,0.890625,0.890625,0.890625,0.890625
267,0.890625,0.890625,0.890625,0.890625,0.890625
268,0.709961,0.709961,0.709961,0.709961,0.709961
269,0.864258,0.864258,0.864258,0.864258,0.864258
270,0.833984,0.833984,0.833984,0.833984,0.833984
271,0.838867,0.838867,0.838867,0.838867,0.838867
272,0.839844,0.839844,0.839844,0.839844,0.839844
273,0.855469,0.855469,0.855469,0.855469,0.855469
274,0.850586,0.850586,0.850586,0.850586,0.850586
275,0.666016,0.666016,0.666016,0.666016,0.666016
276,0.754883,0.754883,0.754883,0.754883,0.754883
277,0.795898,0.795898,0.795898,0.795898,0.795898
278,0.807617,0.807617,0.807617,0.807617,0.807617
279,0.805664,0.805664,0.805664,0.805664,0.805664
280,0.806641,0.806641,0.806641,0.806641,0.806641
281,0.800781,0.800781,0.800781,0.800781,0.800781
282,0.798828,0.798828,0.798828,0.798828,0.798828
283,0.800781,0.800781,0.800781,0.800781,0.800781
284,0.798828,0.798828,0.798828,0.798828,0.798828
285,0.795898,0.795898,0.795898,0.795898,0.795898
286,0.794922,0.794922,0.794922,0.794922,0.794922
287,0.794922,0.794922,0.794922,0.794922,0.794922
288,0.869141,0.869141,0.869141,0.869141,0.869141
289,0.87207,0.87207,0.87207,0.87207,0.87207
290,0.873047,0.873047,0.873047,0.873047,0.873047
291,0.873047,0.873047,0.873047,0.873047,0.873047
292,0.871094,0.871094,0.871094,0.871094,0.871094
293,0.870117,0.870117,0.870117,0.870117,0.870117
294,0.870117,0.870117,0.870117,0.870117,0.870117
295,0.902344,0.902344,0.902344,0.902344,0.902344
296,0.90332,0.90332,0.90332,0.90332,0.90332
297,0.899414,0.899414,0.899414,0.899414,0.899414
298,0.900391,0.900391,0.900391,0.900391,0.900391
299,0.90332,0.90332,0.90332,0.90332,0.90332
300,0.899414,0.899414,0.899414,0.899414,0.899414
301,0.851087,0.851087,0.851087,0.851104,0.851104
