"Batch", "split_confidence = 0.01", "split_confidence = 0.005", "split_confidence = 0.1", "split_confidence = 0.05"
223,0.788086,0.789062,0.799805,0.768555
224,0.791992,0.793945,0.816406,0.775391
225,0.793945,0.806641,0.832031,0.788086
226,0.797852,0.8125,0.816406,0.808594
227,0.80957,0.818359,0.819336,0.810547
228,0.802734,0.819336,0.811523,0.804688
229,0.791016,0.813477,0.851562,0.807617
230,0.797852,0.829102,0.845703,0.807617
231,0.798828,0.829102,0.869141,0.811523
232,0.790039,0.831055,0.866211,0.806641
233,0.791016,0.831055,0.866211,0.81543
234,0.797852,0.830078,0.867188,0.819336
235,0.806641,0.831055,0.861328,0.824219
236,0.811523,0.826172,0.858398,0.833984
237,0.8125,0.825195,0.851562,0.833008
238,0.808594,0.826172,0.84375,0.833008
239,0.805664,0.826172,0.84375,0.833984
240,0.852539,0.875977,0.894531,0.871094
241,0.854492,0.876953,0.884766,0.87207
242,0.842773,0.871094,0.882812,0.880859
243,0.842773,0.858398,0.883789,0.879883
244,0.84082,0.866211,0.880859,0.881836
245,0.844727,0.867188,0.889648,0.883789
246,0.84375,0.870117,0.897461,0.884766
247,0.855469,0.881836,0.905273,0.885742
248,0.856445,0.884766,0.907227,0.890625
249,0.858398,0.885742,0.904297,0.891602
250,0.871094,0.885742,0.898438,0.881836
251,0.850586,0.876953,0.889648,0.875
252,0.850586,0.874023,0.894531,0.874023
253,0.841797,0.885742,0.897461,0.880859
254,0.832031,0.886719,0.90625,0.884766
255,0.847656,0.900391,0.90332,0.888672
256,0.855469,0.895508,0.892578,0.888672
257,0.84668,0.897461,0.876953,0.896484
258,0.857422,0.896484,0.861328,0.898438
259,0.855469,0.897461,0.865234,0.899414
260,0.860352,0.893555,0.862305,0.893555
261,0.857422,0.886719,0.861328,0.888672
262,0.856445,0.891602,0.856445,0.884766
263,0.857422,0.891602,0.853516,0.873047
264,0.854492,0.889648,0.856445,0.87793
265,0.861328,0.891602,0.856445,0.878906
266,0.884766,0.889648,0.901367,0.919922
267,0.886719,0.888672,0.899414,0.918945
268,0.884766,0.898438,0.899414,0.921875
269,0.919922,0.898438,0.904297,0.911133
270,0.925781,0.90625,0.928711,0.916016
271,0.957031,0.918945,0.957031,0.924805
272,0.953125,0.926758,0.951172,0.923828
273,0.951172,0.927734,0.948242,0.933594
274,0.944336,0.925781,0.941406,0.928711
275,0.930664,0.922852,0.944336,0.93457
276,0.93457,0.926758,0.946289,0.931641
277,0.94043,0.936523,0.94043,0.930664
278,0.9375,0.932617,0.930664,0.925781
279,0.933594,0.924805,0.923828,0.929688
280,0.947266,0.929688,0.930664,0.931641
281,0.939453,0.911133,0.921875,0.927734
282,0.941406,0.912109,0.920898,0.920898
283,0.964844,0.918945,0.936523,0.922852
284,0.962891,0.912109,0.938477,0.912109
285,0.962891,0.915039,0.948242,0.913086
286,0.955078,0.899414,0.949219,0.896484
287,0.94043,0.925781,0.950195,0.921875
288,0.9375,0.921875,0.943359,0.922852
289,0.918945,0.930664,0.9375,0.917969
290,0.918945,0.931641,0.935547,0.927734
291,0.915039,0.926758,0.932617,0.939453
292,0.905273,0.929688,0.928711,0.9375
293,0.891602,0.905273,0.919922,0.93457
294,0.888672,0.905273,0.922852,0.926758
295,0.886719,0.911133,0.918945,0.922852
296,0.880859,0.90918,0.916992,0.921875
297,0.879883,0.913086,0.913086,0.928711
298,0.879883,0.90918,0.90625,0.923828
299,0.888672,0.910156,0.910156,0.923828
300,0.885742,0.907227,0.907227,0.922852
301,0.872601,0.878929,0.876387,0.878607
