"Batches", "grace_period = 50", "grace_period = 25", "grace_period = 10", "grace_period = 75", "grace_period = 100"
282,0.928711,0.914062,0.942383,0.926758,0.941406
283,0.943359,0.936523,0.936523,0.930664,0.94043
284,0.9375,0.955078,0.924805,0.916992,0.930664
285,0.929688,0.931641,0.931641,0.926758,0.944336
286,0.931641,0.932617,0.910156,0.922852,0.947266
287,0.953125,0.929688,0.908203,0.927734,0.935547
288,0.950195,0.939453,0.898438,0.916016,0.925781
289,0.947266,0.943359,0.904297,0.898438,0.916016
290,0.935547,0.948242,0.905273,0.898438,0.916992
291,0.929688,0.951172,0.904297,0.899414,0.916992
292,0.924805,0.946289,0.900391,0.884766,0.895508
293,0.920898,0.945312,0.902344,0.889648,0.889648
294,0.904297,0.926758,0.90332,0.898438,0.878906
295,0.902344,0.914062,0.896484,0.898438,0.875
296,0.907227,0.914062,0.893555,0.884766,0.871094
297,0.915039,0.912109,0.900391,0.884766,0.857422
298,0.90918,0.908203,0.904297,0.892578,0.868164
299,0.907227,0.90625,0.90332,0.891602,0.875
300,0.908203,0.90625,0.898438,0.887695,0.87207
301,0.895658,0.872077,0.872236,0.888464,0.891615
