"Batches", "n_estimators = 3", "n_estimators = 5", "n_estimators = 10", "n_estimators = 20", "n_estimators = 40"
289,0.916016,0.926758,0.941406,0.943359,0.928711
290,0.916992,0.924805,0.950195,0.941406,0.928711
291,0.916016,0.917969,0.957031,0.944336,0.927734
292,0.910156,0.901367,0.950195,0.942383,0.921875
293,0.90918,0.892578,0.930664,0.94043,0.912109
294,0.929688,0.891602,0.930664,0.925781,0.900391
295,0.925781,0.889648,0.923828,0.923828,0.90332
296,0.912109,0.874023,0.916016,0.922852,0.90332
297,0.90918,0.879883,0.925781,0.915039,0.901367
298,0.908203,0.875,0.925781,0.911133,0.900391
299,0.90918,0.886719,0.929688,0.912109,0.902344
300,0.905273,0.875,0.925781,0.907227,0.893555
301,0.875977,0.883014,0.880345,0.876055,0.876305
