"Batch", "max_window_size = 50", "max_window_size = 100", "max_window_size = 300", "max_window_size = 500", "max_window_size = 1000", "max_window_size = 2000"
161,0.84,0.904,0.92,0.932,0.944,0.956
162,0.784,0.88,0.884,0.904,0.936,0.952
163,0.78,0.832,0.904,0.912,0.92,0.928
164,0.884,0.92,0.928,0.92,0.944,0.96
165,0.92,0.924,0.956,0.952,0.964,0.984
166,0.888,0.904,0.94,0.952,0.964,0.964
167,0.828,0.896,0.92,0.94,0.944,0.964
168,0.872,0.852,0.888,0.924,0.96,0.952
169,0.896,0.932,0.972,0.972,0.976,0.964
170,0.868,0.912,0.956,0.96,0.968,0.976
171,0.896,0.912,0.936,0.936,0.94,0.952
172,0.836,0.86,0.904,0.924,0.92,0.964
173,0.9,0.888,0.92,0.94,0.956,0.96
174,0.82,0.864,0.928,0.956,0.924,0.932
175,0.84,0.884,0.936,0.944,0.972,0.964
176,0.904,0.924,0.936,0.944,0.952,0.964
177,0.852,0.9,0.956,0.96,0.968,0.948
178,0.82,0.94,0.94,0.96,0.948,0.972
179,0.768,0.876,0.892,0.908,0.912,0.952
180,0.892,0.956,0.928,0.96,0.964,0.964
181,0.86,0.9,0.932,0.94,0.96,0.952
182,0.812,0.888,0.948,0.932,0.96,0.968
183,0.872,0.924,0.932,0.92,0.928,0.948
184,0.872,0.892,0.912,0.932,0.952,0.952
185,0.852,0.892,0.94,0.94,0.972,0.968
186,0.8,0.896,0.952,0.96,0.972,0.976
187,0.892,0.896,0.912,0.948,0.956,0.936
188,0.904,0.9,0.944,0.944,0.96,0.968
189,0.884,0.936,0.936,0.956,0.972,0.956
190,0.852,0.86,0.96,0.952,0.96,0.968
191,0.836,0.884,0.916,0.956,0.928,0.936
192,0.916,0.908,0.928,0.928,0.936,0.972
193,0.808,0.856,0.92,0.928,0.956,0.956
194,0.864,0.9,0.9,0.944,0.932,0.964
195,0.844,0.88,0.888,0.936,0.964,0.992
196,0.856,0.836,0.92,0.92,0.96,0.968
197,0.868,0.94,0.932,0.94,0.956,0.976
198,0.844,0.892,0.92,0.936,0.944,0.952
199,0.832,0.896,0.916,0.92,0.94,0.964
200,0.832,0.888,0.932,0.92,0.94,0.956
201,0.87408,0.90754,0.93574,0.9457,0.955,0.95866
